user_id,acquisition_channel,install_date
user_1,Google Ads,2025-06-08
user_2,Google Ads,2025-06-21
user_3,Google Ads,2025-05-29
user_4,Google Ads,2025-05-15
user_5,Facebook Ads,2025-06-12
user_6,Google Ads,2025-05-08
user_7,Facebook Ads,2025-06-30
user_8,TikTok Ads,2025-05-21
user_9,TikTok Ads,2025-06-08
user_10,TikTok Ads,2025-06-27
user_11,Google Ads,2025-05-19
user_12,Google Ads,2025-05-23
user_13,Facebook Ads,2025-05-11
user_14,TikTok Ads,2025-05-11
user_15,Facebook Ads,2025-05-24
user_16,Google Ads,2025-06-22
user_17,Facebook Ads,2025-06-05
user_18,Facebook Ads,2025-06-09
user_19,Google Ads,2025-05-24
user_20,Facebook Ads,2025-05-03
user_21,TikTok Ads,2025-05-22
user_22,Facebook Ads,2025-06-22
user_23,Facebook Ads,2025-05-02
user_24,Google Ads,2025-05-24
user_25,Facebook Ads,2025-06-13
user_26,Facebook Ads,2025-05-30
user_27,TikTok Ads,2025-06-07
user_28,Facebook Ads,2025-05-02
user_29,TikTok Ads,2025-06-29
user_30,Facebook Ads,2025-05-21
user_31,Facebook Ads,2025-06-02
user_32,TikTok Ads,2025-05-12
user_33,Facebook Ads,2025-06-27
user_34,Facebook Ads,2025-05-22
user_35,Facebook Ads,2025-06-30
user_36,Facebook Ads,2025-06-13
user_37,TikTok Ads,2025-05-25
user_38,Facebook Ads,2025-06-18
user_39,TikTok Ads,2025-05-27
user_40,TikTok Ads,2025-06-28
user_41,Google Ads,2025-06-11
user_42,Unity Ads,2025-05-28
user_43,Facebook Ads,2025-06-29
user_44,Unity Ads,2025-05-16
user_45,Facebook Ads,2025-05-15
user_46,Google Ads,2025-07-01
user_47,Google Ads,2025-07-01
user_48,Facebook Ads,2025-06-16
user_49,Google Ads,2025-07-01
user_50,TikTok Ads,2025-06-20
user_51,Facebook Ads,2025-06-13
user_52,Facebook Ads,2025-06-24
user_53,TikTok Ads,2025-06-21
user_54,Google Ads,2025-06-26
user_55,Unity Ads,2025-05-03
user_56,TikTok Ads,2025-06-06
user_57,Unity Ads,2025-06-20
user_58,TikTok Ads,2025-05-07
user_59,Facebook Ads,2025-05-21
user_60,Facebook Ads,2025-05-09
user_61,TikTok Ads,2025-06-08
user_62,Google Ads,2025-05-18
user_63,Facebook Ads,2025-05-04
user_64,Facebook Ads,2025-05-25
user_65,Unity Ads,2025-06-29
user_66,Google Ads,2025-05-14
user_67,Google Ads,2025-06-19
user_68,Google Ads,2025-06-27
user_69,Facebook Ads,2025-05-09
user_70,Facebook Ads,2025-05-26
user_71,Facebook Ads,2025-06-22
user_72,Facebook Ads,2025-05-02
user_73,TikTok Ads,2025-05-20
user_74,Google Ads,2025-05-28
user_75,TikTok Ads,2025-06-16
user_76,TikTok Ads,2025-06-29
user_77,Facebook Ads,2025-05-07
user_78,Google Ads,2025-06-13
user_79,Google Ads,2025-06-30
user_80,TikTok Ads,2025-05-08
user_81,Facebook Ads,2025-06-16
user_82,Google Ads,2025-06-04
user_83,Google Ads,2025-05-14
user_84,Facebook Ads,2025-05-17
user_85,Facebook Ads,2025-06-05
user_86,Google Ads,2025-06-19
user_87,TikTok Ads,2025-06-09
user_88,Facebook Ads,2025-05-04
user_89,Google Ads,2025-05-02
user_90,Facebook Ads,2025-07-01
user_91,TikTok Ads,2025-05-06
user_92,Facebook Ads,2025-06-23
user_93,TikTok Ads,2025-06-11
user_94,Facebook Ads,2025-05-04
user_95,Facebook Ads,2025-06-23
user_96,Facebook Ads,2025-05-29
user_97,Facebook Ads,2025-05-18
user_98,Google Ads,2025-05-26
user_99,Facebook Ads,2025-06-13
user_100,TikTok Ads,2025-06-03
user_101,Facebook Ads,2025-05-10
user_102,Facebook Ads,2025-07-01
user_103,Facebook Ads,2025-06-05
user_104,Facebook Ads,2025-05-14
user_105,Facebook Ads,2025-05-31
user_106,Google Ads,2025-06-17
user_107,Google Ads,2025-05-15
user_108,Google Ads,2025-05-08
user_109,Google Ads,2025-05-14
user_110,Google Ads,2025-05-23
user_111,Facebook Ads,2025-06-29
user_112,Google Ads,2025-06-26
user_113,Unity Ads,2025-07-01
user_114,Google Ads,2025-06-09
user_115,Google Ads,2025-05-21
user_116,Facebook Ads,2025-05-16
user_117,TikTok Ads,2025-06-14
user_118,TikTok Ads,2025-05-18
user_119,Google Ads,2025-06-16
user_120,Unity Ads,2025-06-22
user_121,Facebook Ads,2025-05-24
user_122,Facebook Ads,2025-05-26
user_123,TikTok Ads,2025-05-25
user_124,TikTok Ads,2025-06-29
user_125,Facebook Ads,2025-06-29
user_126,Facebook Ads,2025-06-29
user_127,Facebook Ads,2025-06-14
user_128,Facebook Ads,2025-06-10
user_129,TikTok Ads,2025-05-29
user_130,Google Ads,2025-05-15
user_131,Facebook Ads,2025-06-14
user_132,Facebook Ads,2025-05-01
user_133,Facebook Ads,2025-05-25
user_134,Facebook Ads,2025-05-07
user_135,Google Ads,2025-05-09
user_136,Unity Ads,2025-05-24
user_137,TikTok Ads,2025-05-01
user_138,Facebook Ads,2025-06-13
user_139,TikTok Ads,2025-05-08
user_140,TikTok Ads,2025-05-24
user_141,TikTok Ads,2025-05-11
user_142,Google Ads,2025-06-20
user_143,Facebook Ads,2025-05-17
user_144,Facebook Ads,2025-05-08
user_145,Facebook Ads,2025-06-04
user_146,Facebook Ads,2025-06-04
user_147,Facebook Ads,2025-06-02
user_148,Google Ads,2025-06-28
user_149,TikTok Ads,2025-05-05
user_150,Google Ads,2025-06-11
user_151,Facebook Ads,2025-06-08
user_152,Unity Ads,2025-06-27
user_153,Unity Ads,2025-06-10
user_154,TikTok Ads,2025-05-28
user_155,Unity Ads,2025-05-07
user_156,Google Ads,2025-05-09
user_157,Unity Ads,2025-05-08
user_158,Facebook Ads,2025-05-12
