user_id,session_date,session_length_minutes
user_1,2025-06-13,26
user_1,2025-06-15,1
user_1,2025-06-10,36
user_1,2025-06-20,45
user_1,2025-06-09,92
user_1,2025-06-10,1
user_1,2025-06-11,22
user_1,2025-06-09,17
user_1,2025-07-01,7
user_1,2025-06-19,4
user_1,2025-06-17,8
user_1,2025-06-10,7
user_1,2025-06-09,46
user_1,2025-06-13,5
user_2,2025-06-26,39
user_2,2025-06-29,3
user_2,2025-06-28,21
user_2,2025-06-26,46
user_2,2025-06-27,18
user_2,2025-06-24,82
user_2,2025-06-21,7
user_2,2025-06-30,1
user_3,2025-06-01,3
user_3,2025-06-09,14
user_3,2025-05-31,7
user_3,2025-06-06,1
user_3,2025-05-30,1
user_3,2025-06-14,27
user_3,2025-06-11,25
user_3,2025-06-09,12
user_3,2025-06-08,1
user_3,2025-06-07,30
user_3,2025-06-04,8
user_3,2025-06-01,20
user_3,2025-06-09,40
user_4,2025-05-23,42
user_4,2025-05-22,14
user_4,2025-05-23,27
user_4,2025-06-17,1
user_4,2025-05-15,55
user_4,2025-05-22,19
user_4,2025-05-21,1
user_4,2025-05-29,27
user_4,2025-05-18,7
user_4,2025-06-02,1
user_4,2025-06-05,5
user_4,2025-05-23,54
user_4,2025-05-26,10
user_5,2025-06-15,114
user_5,2025-06-25,20
user_5,2025-06-16,1
user_5,2025-06-12,16
user_5,2025-06-26,15
user_5,2025-06-30,1
user_5,2025-06-16,5
user_5,2025-06-17,1
user_5,2025-06-14,51
user_5,2025-06-17,84
user_5,2025-06-20,53
user_5,2025-06-12,27
user_5,2025-06-13,2
user_5,2025-06-17,54
user_5,2025-06-19,14
user_6,2025-05-24,1
user_6,2025-05-18,49
user_6,2025-05-10,21
user_6,2025-05-08,18
user_6,2025-05-09,26
user_6,2025-05-11,12
user_6,2025-05-17,3
user_6,2025-05-21,7
user_6,2025-05-18,3
user_6,2025-05-19,2
user_7,2025-06-30,9
user_7,2025-07-01,25
user_8,2025-05-24,8
user_8,2025-05-21,8
user_8,2025-06-06,45
user_8,2025-05-28,12
user_8,2025-05-21,42
user_8,2025-05-21,57
user_8,2025-05-27,8
user_8,2025-06-15,1
user_8,2025-05-29,15
user_8,2025-05-23,11
user_8,2025-05-31,25
user_8,2025-05-21,55
user_8,2025-05-22,5
user_8,2025-05-24,1
user_8,2025-05-22,85
user_8,2025-05-24,2
user_8,2025-05-22,25
user_9,2025-06-08,5
user_9,2025-06-08,2
user_9,2025-06-13,5
user_9,2025-06-15,5
user_9,2025-07-01,16
user_9,2025-06-12,9
user_9,2025-06-13,26
